Generation,Best Fitness,Avg Fitness,Timestamp
0,-3.9140000000000073,-5.096106666666717,1765549520.6879678
1,-3.498666666666742,-5.05698666666672,1765550152.117175
2,-3.2180000000000404,-4.9302266666667185,1765550779.5206363
3,-3.558666666666735,-4.967986666666711,1765551394.1809666
4,-1.5650000000000024,-4.897026666666718,1765552055.393087
5,-3.094666666666621,-4.987846666666724,1765552744.859617
6,-1.8193333333333597,-4.962740000000058,1765553415.6353056
7,-2.727999999999961,-4.91352666666672,1765554128.033586
8,-3.2396666666667038,-4.9804666666667305,1765554824.2068286
9,-2.2856666666666072,-4.976066666666718,1765555547.8356562
10,-3.293000000000049,-5.053253333333393,1765556252.7675204
11,-3.131333333333268,-4.968320000000039,1765556902.7929456
12,-3.1353333333332425,-4.993706666666713,1765557572.94121
13,-3.503666666666742,-4.999813333333381,1765558163.3007886
14,-3.6123333333333414,-5.084433333333395,1765558861.736635
15,-1.7326666666666892,-4.9445000000000645,1765559537.1137
16,-3.2436666666666696,-4.991606666666724,1765560278.8689423
17,-3.31666666666672,-4.979315000000049,1765560956.2766914
18,-3.1830000000000034,-5.043780000000038,1765561661.7046502
19,-5.000000000000004,-5.092786666666701,1765562275.0092669
20,-3.322000000000003,-5.058953333333374,1765562986.9411316
21,-5.000000000000004,-5.127860000000046,1765563649.1192343
22,-5.000000000000004,-5.121786666666711,1765564287.291445
