Generation,BestFitness,AvgFitness,MaxKills,MaxSurvival
1,68.30,-1.64,0,757
2,274.46,21.73,0,120
3,274.46,-22.98,0,497
1,0.00,-238.36,0,0
2,0.00,-68.99,0,0
3,0.00,-401.79,0,0
4,0.00,-151.34,0,0
1,0.00,-823.05,0,0
2,0.00,-122.26,0,0
3,0.00,-172.48,0,0
4,0.00,-106.17,0,0
5,0.00,-190.80,0,0
6,0.00,-357.61,0,0
7,0.00,0.00,0,0
8,0.00,-345.73,0,0
9,0.00,-296.58,0,0
10,0.00,-222.40,0,0
1,0.00,-131.40,0,0
2,0.00,-156.22,0,0
3,0.00,-136.04,0,0
4,0.00,-114.45,0,0
5,0.00,-208.42,0,0
6,0.00,-483.16,0,0
7,0.00,-150.18,0,0
8,0.00,-204.39,0,0
9,0.00,-114.11,0,0
10,0.00,-216.54,0,0
1,0.00,-242.69,0,0
1,0.00,-592.13,0,0
2,0.00,-470.98,0,0
3,0.00,-408.32,0,0
4,0.00,-415.50,0,0
5,0.00,-285.02,0,0
6,0.00,-251.65,0,0
7,0.00,-331.56,0,0
8,0.00,-164.42,0,0
9,0.00,-88.72,0,0
10,0.00,0.00,0,0
11,0.00,-394.12,0,0
12,0.00,-235.08,0,0
13,0.00,-156.73,0,0
14,0.00,-599.93,0,0
15,0.00,-486.92,0,0
16,0.00,-432.80,0,0
17,0.00,-412.93,0,0
18,0.00,-180.98,0,0
19,0.00,-361.38,0,0
20,0.00,0.00,0,0
21,0.00,-376.73,0,0
22,0.00,-296.60,0,0
23,0.00,-151.59,0,0
24,0.00,-374.12,0,0
25,0.00,-442.53,0,0
26,0.00,-153.79,0,0
27,0.00,-302.91,0,0
28,0.00,-442.40,0,0
29,0.00,-142.81,0,0
30,0.00,-125.01,0,0
31,0.00,-143.86,0,0
32,0.00,-266.70,0,0
33,0.00,-513.57,0,0
34,0.00,0.00,0,0
35,0.00,-274.97,0,0
36,0.00,-428.92,0,0
37,0.00,-280.49,0,0
38,0.00,-313.31,0,0
39,0.00,-149.08,0,0
40,0.00,0.00,0,0
41,0.00,-156.02,0,0
42,0.00,-128.84,0,0
43,0.00,0.00,0,0
44,0.00,0.00,0,0
45,0.00,0.00,0,0
46,0.00,-289.81,0,0
47,0.00,-229.52,0,0
48,0.00,-150.69,0,0
49,0.00,-128.19,0,0
50,0.00,-145.41,0,0
51,0.00,-298.99,0,0
52,0.00,-231.00,0,0
53,0.00,-152.49,0,0
54,0.00,-368.44,0,0
55,0.00,-118.03,0,0
56,0.00,0.00,0,0
57,0.00,-298.83,0,0
58,0.00,-260.14,0,0
59,0.00,-374.49,0,0
60,0.00,-422.47,0,0
61,0.00,-87.30,0,0
62,0.00,-73.87,0,0
63,0.00,-610.00,0,0
64,0.00,-437.02,0,0
65,0.00,-157.61,0,0
66,0.00,-139.08,0,0
67,0.00,-149.80,0,0
68,0.00,-642.48,0,0
69,0.00,-281.57,0,0
70,0.00,-396.86,0,0
71,0.00,-41.43,0,0
72,0.00,-157.49,0,0
73,0.00,-427.03,0,0
74,0.00,-224.88,0,0
75,0.00,-36.23,0,0
76,0.00,-256.61,0,0
77,0.00,-559.68,0,0
78,0.00,-682.37,0,0
79,0.00,-534.49,0,0
80,0.00,-308.39,0,0
81,0.00,-279.52,0,0
82,0.00,-151.09,0,0
83,0.00,0.00,0,0
