Generation,Best Fitness,Average Fitness
1,-429.0,-743.4900000000001
2,-435.3333333333333,-747.1466666666665
3,-419.6666666666667,-731.9266666666667
4,-414.6666666666667,-740.8566666666667
5,-141.0,-725.9966666666664
6,-126.0,-716.3200000000003
7,-126.0,-707.6500000000004
8,-131.66666666666666,-705.5233333333331
9,-124.66666666666667,-683.5300000000003
10,-133.0,-721.4566666666668
11,-124.33333333333333,-699.15
12,-144.33333333333334,-689.4299999999996
13,-123.33333333333333,-657.2366666666665
14,-121.33333333333333,-652.7899999999998
15,-131.66666666666666,-671.9966666666664
16,-126.0,-635.856666666667
17,176.66666666666666,-651.6366666666663
18,-417.3333333333333,-686.106666666667
19,-422.0,-676.5166666666668
20,-410.3333333333333,-703.4833333333332
21,-139.33333333333334,-669.9799999999999
22,-126.33333333333333,-696.5333333333332
23,-134.0,-673.2166666666668
24,-129.0,-686.4800000000001
25,-419.3333333333333,-702.9366666666666
26,-109.33333333333333,-694.51
27,-129.0,-687.0299999999997
28,-425.3333333333333,-681.96
29,-126.0,-710.2766666666665
30,-122.0,-689.2199999999997
31,-128.0,-688.6966666666667
32,-131.33333333333334,-696.1833333333333
33,-422.0,-703.2833333333333
34,-127.33333333333333,-687.5299999999999
35,-120.0,-695.69
36,-130.0,-702.6033333333332
37,-150.0,-698.3566666666666
38,-130.66666666666666,-690.7266666666667
39,-120.0,-659.8333333333333
40,-138.0,-689.0000000000001
41,-128.66666666666666,-682.0366666666667
42,-134.0,-695.9133333333332
43,-138.0,-718.95
44,-130.0,-706.7633333333334
45,-142.0,-719.2699999999999
46,-429.0,-709.2999999999997
47,-130.66666666666666,-694.9999999999995
48,-135.33333333333334,-721.32
49,-413.0,-683.6833333333332
50,-123.33333333333333,-702.6366666666668
51,-141.0,-703.8666666666663
52,-416.3333333333333,-712.9199999999998
53,-426.0,-714.7499999999999
54,-423.3333333333333,-713.5266666666665
55,-426.0,-713.95
56,-134.66666666666666,-701.0899999999997
57,-438.0,-713.66
58,-426.0,-738.7666666666664
59,-434.0,-721.3366666666665
60,-150.0,-714.7866666666665
61,-427.3333333333333,-723.9999999999999
62,-136.0,-713.0066666666665
63,-419.3333333333333,-712.1766666666666
64,-128.0,-692.9
65,-131.33333333333334,-701.9766666666666
66,-131.33333333333334,-697.64
67,-123.33333333333333,-693.3433333333335
68,-431.3333333333333,-711.3133333333333
69,-116.66666666666667,-692.97
70,-438.0,-712.1633333333333
71,-150.0,-690.7833333333333
72,-423.3333333333333,-710.0
73,-423.3333333333333,-717.2833333333334
74,-135.33333333333334,-689.4833333333335
75,-128.66666666666666,-714.4466666666668
76,-118.66666666666667,-714.3733333333333
77,-124.0,-703.7633333333334
78,-426.0,-729.23
79,-434.0,-728.3866666666665
80,-430.0,-734.4066666666668
81,-430.6666666666667,-736.1533333333334
82,-442.0,-733.5666666666667
83,-426.6666666666667,-724.0933333333332
84,-423.3333333333333,-697.7366666666666
85,-426.6666666666667,-706.4233333333333
86,-423.3333333333333,-719.27
87,-430.0,-706.56
88,-131.33333333333334,-701.4933333333331
89,-426.6666666666667,-726.4333333333333
90,-410.6666666666667,-711.7733333333333
91,-434.6666666666667,-709.7166666666666
92,-430.0,-732.4933333333331
93,-430.6666666666667,-725.42
94,-426.6666666666667,-733.7133333333333
95,-426.6666666666667,-720.2933333333333
96,-128.0,-696.6766666666668
97,-438.0,-721.8
98,-434.6666666666667,-736.24
99,-422.6666666666667,-742.5866666666666
100,-430.0,-735.65
